,Source,Text,Category,Date,Explanation,Label
55,Facebook posts,"Says Bill Gates will provide ""money-500K, car, phone, visa"" or other gifts if you email him.",Facebook fact-checks,"Friday, December 20th, 2019",Post even spells Gates' name wrong,Pants on Fire!
56,Ro Khanna,"Says the California congressional district he represents ""has a higher GDP than Russia.""",California,"Friday, December 20th, 2019",Muffed his talking point,False
57,Facebook posts,Says a photo shows a white man smiling while holding a black man with a bloody face.,Facebook fact-checks,"Friday, December 20th, 2019",Inaccurate implication,False
58,Jim Sensenbrenner,"""104 House Democrats voted for impeachment before the Ukraine call took place.""",Wisconsin,"Friday, December 20th, 2019",Voting for one thing or the other,Mostly False
59,Michael McCaul,"""80% of children born in developing countries die of cancer each year.""",Texas,"Friday, December 20th, 2019",Misquote of real stat,Mostly False
60,Bloggers,"Says the New York Times reported that Hillary Clinton and George Soros ""paid (a) woman to accuse Trump of sexual attack.""",Facebook fact-checks,"Friday, December 20th, 2019",NYT didn't prove site's claim,False
61,Elizabeth Warren,"""Last year, 36 million Americans didn’t have a prescription filled because they couldn’t afford it.""",Health Check,"Friday, December 20th, 2019",‘Medication insecurity’ is a thing.,True
62,Andrew Yang,"""They banned face masks in Hong Kong. Why? Because they have AI technology that now is using facial recognition to identify protesters if they so much as do anything on the street, so they can follow up with them and detain them later.""",National,"Friday, December 20th, 2019",Ban temporarily lifted,Half-True
63,Andrew Yang,"""If you're a black woman, you're 320% more likely to die from complications in childbirth.""",Health Check,"Friday, December 20th, 2019",These numbers are stark.,True
64,Amy Klobuchar,"Says Pete Buttigieg ran statewide in Indiana and ""lost by 20 points.""",National,"Friday, December 20th, 2019",Buttigieg was left black and blue in red Indiana,True
65,Bernie Sanders,"Real wages ""went up last year 1.1%.""",National,"Thursday, December 19th, 2019",Wages are up,True
66,Doug Collins,"""In November 2019, Speaker Pelosi said it would be ‘dangerous’ to leave it to voters to determine whether President Trump stays in office.""",National,"Thursday, December 19th, 2019",Collins misquoted Pelosi,False
67,Barry Loudermilk,"""When Jesus was falsely accused of treason, Pontius Pilate gave Jesus the opportunity to face his accusers. During that sham trial, Pontius Pilate afforded more rights to Jesus than the Democrats have afforded this president in this process.""",National,"Thursday, December 19th, 2019",Trump opted not to face his accusers,False
68,Jim Himes,"Says President Donald Trump ""has not given this Congress a single email, phone record or document.""",National,"Thursday, December 19th, 2019",Ignores the call readout,Mostly True
69,Dale Kooyenga,"Says minimum markup law goes beyond gas, tobacco and alcohol to make ""many doorbuster deals and holiday shopping specials technically against the law.""",Wisconsin,"Wednesday, December 18th, 2019",No proof of many below-cost sales,Half-True
70,Joe Biden,"""I (found) the Republican votes for the Recovery Act, Obamacare, help us from falling into a Great Depression.""",National,"Wednesday, December 18th, 2019",Minimal bipartisanship,Mostly False
71,Tucker Carlson,"Says the Potomac River ""has gotten dirtier and dirtier and dirtier and dirtier. I go down there and that litter is left almost exclusively by immigrants.""",PunditFact,"Wednesday, December 18th, 2019",Doesn't hold water,Pants on Fire!
72,Nancy Pelosi,"Says voter roll purge would mean ""more than 200,000 registered Wisconsin voters will be prohibited from voting.""",Wisconsin,"Wednesday, December 18th, 2019","All voters can re-register, even on Election Day",Pants on Fire!
73,Joe Biden,"California firefighters decided ""to speak out"" against President Trump because his tweet about the state’s wildfires ""contained so much misinformation.""",California,"Wednesday, December 18th, 2019",Top fire officials criticized Trump's tweet,True
74,Facebook posts,"Says President Trump’s mother said, ""Yes, he’s an idiot with zero common sense, and no social skills, but he is my son. I just hope he never goes into politics. He’d be a disaster.""",Facebook fact-checks,"Wednesday, December 18th, 2019",Fake quotes are the real disaster,Pants on Fire!
75,Viral image,An old image shows a drug store with a marijuana leaf sign.,Facebook fact-checks,"Wednesday, December 18th, 2019",It's a digitally altered image,False
76,Viral image,"""Yesterday Virginia announced the end of youth hunting!""",Facebook fact-checks,"Wednesday, December 18th, 2019",Proposed changes would not affect hunting,False
77,Dan Forest,"Says immigrants wanted by ICE have victimized ""tens of thousands of children"" in North Carolina.",North Carolina,"Wednesday, December 18th, 2019",No data to support claim,False
78,Rick Range,"""George P. Bush to place statue of (Mexican general) Santa Anna at the Alamo.""",Texas,"Tuesday, December 17th, 2019",A rumor at best,Pants on Fire!
79,Viral image,Says a photo shows Pamela Karlan reacting to Hillary Clinton’s presidential defeat.,Facebook fact-checks,"Tuesday, December 17th, 2019",Her name is Janna DeVylder,False
80,Facebook posts,"""Male birth control testing stopped after men’s testicles start exploding in India.""",Facebook fact-checks,"Tuesday, December 17th, 2019",Practice safe Facebook sharing,Pants on Fire!
81,Jim Justice,"""Jim Justice is the first West Virginia governor to fight for pay raises for educators.""",West Virginia,"Tuesday, December 17th, 2019",It's virtually a rite of passage,Pants on Fire!
82,Jim Justice,"Says a new annual report shows that ""West Virginia’s tourism industry has grown for the second consecutive year, reversing years of decline and outpacing national growth by 58 percent.""",West Virginia,"Tuesday, December 17th, 2019",Positive signs all around,True
83,Chris Salcedo,"Says justices of the peace in Texas are being asked to choose: ""give up your career or violate your religious beliefs"" and perform same-sex marriages.",Texas,"Tuesday, December 17th, 2019",No requirements here,False
84,Mike Adams,"A state senate bill would ""criminalize a father teaching his own son how to use a hunting rifle.""",Virginia,"Tuesday, December 17th, 2019",Wrong and incendiary,Pants on Fire!
85,Bloggers,"Says Koalas are ""functionally extinct"" as bushfires in Australia continue to destroy their habitat.",Facebook fact-checks,"Monday, December 16th, 2019","They are listed as ""vulnerable""",Mostly False
86,Joe Biden,"Delaware has the ""eighth-largest black population in the country""",National,"Monday, December 16th, 2019",Not in raw numbers,Mostly False
87,Dave Syverson,"Says a proposed change to Illinois’ gambling law would result in ""lower taxes paid to the state and higher taxes paid"" to Chicago from a city casino so that the total amount would be the same, but the city would get to ""keep more of it.""",Illinois,"Sunday, December 15th, 2019",Plan called for lower taxes paid to both city and state,Half-True
88,Viral image,"Says Fox News ""posts a fake picture to show soldiers excited to see Trump in Afghanistan….forgets to take out the Universal Studios sign in the background.""",Facebook fact-checks,"Friday, December 13th, 2019",It's doctored,Pants on Fire!
89,Viral image,"Says a photo of a woman wearing a costume holding the sign ""vagina lady"" is Stanford law professor Pamela Karlan.",Facebook fact-checks,"Friday, December 13th, 2019",No evidence woman is Karlan,False
90,Facebook posts,"Quotes Andy Borowitz as saying ""stopping Hillary is a short-term solution. The long-term solution — and it will be more difficult — is fixing the educational system that has created so many people ignorant enough to vote for Hillary.""",Facebook fact-checks,"Friday, December 13th, 2019","He was talking about Trump, not Clinton",False
91,Ilhan Omar,"The U.S. spends ""57 cents on the dollar on defense.""",National,"Friday, December 13th, 2019",She's in the ballpark only for discretionary spending,False
92,Elizabeth Warren,"""Roughly one in four fish eaten in the United States was caught here and sent to Asia for processing before being re-imported for American consumers.""",National,"Friday, December 13th, 2019",Throw this one back,Mostly False
93,Rob Hutton,"A ""study showed as many as one in four people have had a package stolen from their residence.""",Wisconsin,"Friday, December 13th, 2019",Tis the season for busy box bandits,True
94,Ted Cruz,"""Ukraine blatantly interfered in our election.""",Texas,"Thursday, December 12th, 2019",FBI says otherwise,False
95,Pete Buttigieg,"Says that in South Bend, Ind., the ""black poverty fell by more than half on my watch.""",National,"Thursday, December 12th, 2019",Not according to latest or most reliable data,Mostly False
96,Paul Gigot,"Says the impeachment of President Donald Trump would be the first in U.S. history ""without a specific criminal statute or crime that the president who is impeached would have allegedly committed.""",PunditFact,"Thursday, December 12th, 2019",Clinton accused of perjury,Half-True
97,Viral image,"Says Adam Schiff’s family Christmas card has a photo of the whistleblower, who is dating Schiff’s daughter.",Facebook fact-checks,"Thursday, December 12th, 2019","Photo is real, claim is not",Pants on Fire!
98,Jeff Jackson,"Says North Carolina's average teacher salary was at the national average ""back when I was in public school.""",North Carolina,"Wednesday, December 11th, 2019",NC has never met the national average,False
99,Facebook posts,"Says that the ""28th Amendment"" prohibits Congress from creating laws that apply to U.S. citizens but not to them, and vice-versa.",Facebook fact-checks,"Wednesday, December 11th, 2019",There's only 27 Amendments,Pants on Fire!
100,Facebook posts,"Says Nancy Pelosi was ""asked to leave a children’s benefit after drunken outburst.""",Facebook fact-checks,"Wednesday, December 11th, 2019",This claim is cut off,Pants on Fire!
101,Facebook posts,"Says a photo shows an old Christmas tradition of women apologizing ""to their husbands for all the mistakes they made during the year and beg for forgiveness.""",Facebook fact-checks,"Wednesday, December 11th, 2019",Sorry fellas,False
102,William Barr,"""The Inspector General’s report now makes clear that the FBI launched an intrusive investigation of a U.S. presidential campaign on the thinnest of suspicions.""",National,"Wednesday, December 11th, 2019",Rejects report's key finding,Mostly False
103,Mark Pocan,"Says President Donald Trump is ""waging a trade war against WI farmers -- forcing > 1600 dairy farms to close.""",Wisconsin,"Wednesday, December 11th, 2019",Dairy troubles started long before trade war,Mostly False
104,Facebook posts,Says Will Smith and his son Jaden Smith died in a car crash.,Facebook fact-checks,"Tuesday, December 10th, 2019",Another celebrity death hoax,Pants on Fire!
105,Facebook posts,"Says Joe Biden ""blackmailed Ukraine with a billion in tax dollars to drop an investigation into his son and Democrats want to impeach President Trump for simply asking if it was true?""",Facebook fact-checks,"Tuesday, December 10th, 2019",Biden didn’t blackmail Ukraine,False
106,Greg Steube,"""We provided terrorists in Iraq more rights and due process in the Central Criminal Court of Iraq"" than House Democratic leadership has afforded President Donald Trump in the impeachment inquiry.",Florida,"Tuesday, December 10th, 2019",Not comparable,False
107,Viral image,Says a photo shows Adam Schiff and Jeffrey Epstein.,Facebook fact-checks,"Tuesday, December 10th, 2019",It's doctored,Pants on Fire!
108,Facebook posts,Says the NAACP endorsed Donald Trump in the 2020 election.,Facebook fact-checks,"Tuesday, December 10th, 2019",But NAACP has endorsed his impeachment,Pants on Fire!
109,Facebook posts,"""Ilhan Omar just hosted a flag burning party.""",Facebook fact-checks,"Tuesday, December 10th, 2019",“Satire for Islamaphobes.”,Pants on Fire!
110,One America News,"Says Adam Schiff is ""under investigation for Ukrainian Burisma oil connections.""",Facebook fact-checks,"Monday, December 9th, 2019",Botched reporting,Pants on Fire!
111,Viral image,"Says the Clinton Foundation ""gave ONLY $5 million to charities, spent $85 million for their salaries & travels and KEPT the rest = $87 million"" in 2014.",Facebook fact-checks,"Monday, December 9th, 2019",Most expenses go toward programs,False
112,Facebook posts,Says former Democratic Sen. Harry Reid has an outlaw horse thief ancestor and Reid’s office offered a spin-job biography about the man.,Facebook fact-checks,"Monday, December 9th, 2019","An old, bogus story",Pants on Fire!
113,Viral image,"Says Elizabeth Warren tweeted, ""Looks like I’m the last woman of color left in this race.""",Facebook fact-checks,"Monday, December 9th, 2019",But a Warren parody accounted tweeted it,Pants on Fire!
114,Viral image,"Says Donald Trump tweeted, ""Danny DeVito supports baby murder.""",Facebook fact-checks,"Monday, December 9th, 2019",PolitiFact supports debunking misinformation,False
115,Viral image,"Says First Lady Melania Trump posted a photo of herself ""yesterday"" and Facebook took it down.",Facebook fact-checks,"Friday, December 6th, 2019",Photo doesn't violate Facebook's standards,Pants on Fire!
116,Facebook posts,"Says Warren Buffett asked people to forward a chain email about the ""Congressional Reform Act of 2019.""",Facebook fact-checks,"Friday, December 6th, 2019","Wasn't true in 2009, isn't true now",Pants on Fire!
117,Arnold Schwarzenegger,"""In Bakersfield, where there’s a lot of oil drilling going on, there’s more solar jobs now in Bakersfield and around that area than there are oil jobs.""",California,"Friday, December 6th, 2019","Solar jobs are growing, but haven't overtaken oil",False
118,Robin Vos,"On red-flag laws says, ""What (Democrats) wanted to do was say, ‘I think you might do something, so I’m going to take away your gun and make you prove you wouldn’t do it.""",Wisconsin,"Friday, December 6th, 2019",Red-flag gun laws have nuances,Mostly False
119,Woody Thrasher,"""West Virginia is sixth overall in the average number of at-risk youth.""",West Virginia,"Friday, December 6th, 2019",Study cited is credible,Mostly True
120,E. Gordon Gee,"""In West Virginia, we have 20,000 jobs in which we don’t have skilled workers.""",West Virginia,"Friday, December 6th, 2019",It's probably not that high,Half-True
121,Mark Walker,Says the cartels are so bad in a Mexican border state that the U.S. government issued a ‘Do Not Travel’ warning -- the same warning it issued for Syria.,North Carolina,"Thursday, December 5th, 2019",They have the same travel advisory,True
122,Jeanne Ives,"Says U.S. Rep. Sean Casten has held numerous ""invite-only"" town halls.",Illinois,"Thursday, December 5th, 2019",Her own evidence contradicts this,Pants on Fire!
123,Donald Trump,"Says House Intelligence Chair Adam Schiff ""made up the conversation. He lied. If he didn't do that in the halls of Congress, he'd be thrown in jail. He did it in the halls of Congress, he's given immunity.""",National,"Thursday, December 5th, 2019","Possible, but highly unlikely",False
124,Viral image,"Says for every ""share"" that a photograph of a sick boy gets, Facebook will donate one dollar.",Facebook fact-checks,"Thursday, December 5th, 2019",A scam,Pants on Fire!
125,Pharmaceutical Research and Manfacturers of America,"""Speaker Pelosi's drug pricing plan would siphon $1 trillion or more from biopharmaceutical innovators over the next 10 years. CBO's preliminary estimate found this bill ‘would result in lower spending on research and development and thus reduce the introduction of new drugs.’""",Health Check,"Thursday, December 5th, 2019",‘On very shaky ground.’,Mostly False
126,John Kennedy,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",National,"Wednesday, December 4th, 2019",Not according to news reports,False
127,Facebook posts,"Says people can send Christmas cards to ""a recovering American soldier"" at the Walter Reed Army Medical Center in Washington, D.C.",Facebook fact-checks,"Wednesday, December 4th, 2019",Even the address is wrong,False
128,Facebook posts,"Says photo shows ""the Golden Gate Bridge opening to the public for the first time back in 1937, and yes, it almost collapsed.""",Facebook fact-checks,"Wednesday, December 4th, 2019","Photo is from wrong year, no near collapse",False
129,Jim Justice,"China today is ""burning seven to eight times the amount of coal that we’re burning in the United States.""",West Virginia,"Wednesday, December 4th, 2019","Not quite, but close",Mostly True
130,Alma Adams,"""The President wants to cut 3 MILLION people from SNAP, including children, seniors and veterans.""",North Carolina,"Tuesday, December 3rd, 2019",MAYBE vets. Maybe.,Mostly True
131,David DiPietro,"When it comes to how many of the 35 different federal welfare benefits each state can offer, ""the average in the country is about 12 to 14. Why are we giving every one?""",New York,"Tuesday, December 3rd, 2019","Lots of data on welfare, but this claim is a mystery",False
132,Sid Miller,Image shows U.S. National Guard Sgt. Leigh Ann Hester.,Texas,"Tuesday, December 3rd, 2019","Different, unrelated soldier",False
133,Tony Evers,"Says a Republican bill he vetoed would have implemented a ""mandate"" to make public the names of all students’ parents or guardians.",Wisconsin,"Tuesday, December 3rd, 2019",Admitted error 11 days later,False
134,Michael Bloomberg,"""No other city in America did what (New York) did. We reduced murders by 50%, reduced police shootings to historic lows, reduced the number of people incarcerated by nearly 40%.""",National,"Monday, December 2nd, 2019","Trends started before him, continued after",Mostly True
135,Lizzie Pannill Fletcher,"""In Texas, Latinas make less than $0.45 for every dollar a man makes. That makes us 49th in the nation.""",Texas,"Wednesday, November 27th, 2019",Language is important here,Mostly True
136,Jerry Tillman,"Says the U.S. Constitution ""doesn’t say anything about (redistricting) being fair. … it’s set up to be partisan.""",North Carolina,"Tuesday, November 26th, 2019",Lots to unpack here,Half-True
137,Robin Vos,"Says 1,000 people failed gun background checks in Wisconsin in 2018, but ""almost none of them were prosecuted for trying to do a background check and illegally buy a weapon.""",Wisconsin,"Tuesday, November 26th, 2019","No firm data, but charges appear rare",Mostly True
138,Joe Biden,"""The fact is that right now the vast majority of Democrats do not support Medicare for All.""",Health Check,"Tuesday, November 26th, 2019",'Vast' sets a high bar,Mostly False
139,Bloggers,Says a mall Santa beat up a child molester.,Facebook fact-checks,"Tuesday, November 26th, 2019","Ho, ho, humbug",Pants on Fire!
140,Facebook posts,"Says ABC 7 reported the Santa Clarita high school shooting ""3 weeks in advance.""",National,"Tuesday, November 26th, 2019",One more example of a 'false-flag' conspiracy theory,Pants on Fire!
141,Kellyanne Conway,"""We now have the first decline in overdose deaths due to drugs in 30 years - since 1990.""",Virginia,"Tuesday, November 26th, 2019",Numbers not final,Mostly True
142,Jean Evans,"""Missouri, in general, has more crime, percentage-wise, than the rest of the country. So, we are seeing overall crime throughout the country is going down but not here in Missouri.""",Missouri,"Monday, November 25th, 2019",Not the whole story,Half-True
143,Facebook posts,Says President Obama used government funds to pay for his personal vacations for the next 20 years and Trump sent him a bill.,Facebook fact-checks,"Monday, November 25th, 2019","There is no ""Office of Presidential Visits and Vacations""",Pants on Fire!
144,Ron Kind,"""I am the only member of Congress that voted for both inquiries -- the Clinton inquiry and now the Trump inquiry.""",Wisconsin,"Monday, November 25th, 2019",Double duty on inquiry votes,True
145,JB Pritzker,"Says a study projected that a pension buyout program he expanded would save ""billions and billions, potentially $25 billion.""",Illinois,"Sunday, November 24th, 2019",Evidence is lacking,Mostly False
146,Nancy Pelosi,"President Trump ""hasn’t built any new (border) wall"" during his time in office.",California,"Friday, November 22nd, 2019",Nearly all work is replacement fencing,Mostly True
147,Viral image,"""The Ukrainian government just indicted the Burisma gas company & named Hunter Biden for accepting millions of dollars from a slush fund.""",Facebook fact-checks,"Friday, November 22nd, 2019",No indictment,False
148,Facebook posts,"Says Nike pays factory workers, 80% of whom are women, ""20 cents an hour"" and has them work ""70 to 80 hours a week.""",Facebook fact-checks,"Friday, November 22nd, 2019",Numbers are from the 1990s,Half-True
149,Viral image,An image shows Rep. Elise Stefanik flipping off the camera at the impeachment proceedings,Facebook fact-checks,"Friday, November 22nd, 2019",Nail polish doesn't even match,Pants on Fire!
150,Cal Cunningham,"Says his campaign hasn’t accepted corporate PAC money and isn’t funded by ""special interests.""",North Carolina,"Thursday, November 21st, 2019",There's more to it,Mostly False
151,Facebook posts,"Says Maxine Waters, Nancy Pelosi and Bernie Sanders have passed six bills in a combined 67 years.",Facebook fact-checks,"Thursday, November 21st, 2019",They've passed more than six bills,False
152,Donald Trump,"""Today I opened a major Apple Manufacturing plant in Texas that will bring high paying jobs back to America.""",Texas,"Thursday, November 21st, 2019",Plant open since 2013,False
153,Bloggers,"Says Nancy Pelosi said ""Americans are the stupidest people on earth.""",Facebook fact-checks,"Thursday, November 21st, 2019",Satire without the disclaimer,Pants on Fire!
154,Nikki Fried,"While previous clemency boards granted restoration of civil rights to thousands of Floridians,  ""so far this year, under this clemency board, four (felons) have gotten their rights back.""",Florida,"Thursday, November 21st, 2019",Limbo for felons,Mostly True
155,Elizabeth Warren,"""Today in America — a new study came out — 20 years out, whites who borrowed money, 94% of them have paid off their student loan debt; 5% of African-Americans have paid it off.""",National,"Thursday, November 21st, 2019","She cited borrowers, study cited amounts",Mostly False
